chDemoQs,chAQ10,Q_stim,chInstrSlide,Demographic_Loop.thisRepN,Demographic_Loop.thisTrialN,Demographic_Loop.thisN,Demographic_Loop.thisIndex,AQ_Loop.thisRepN,AQ_Loop.thisTrialN,AQ_Loop.thisN,AQ_Loop.thisIndex,Q_trials.thisRepN,Q_trials.thisTrialN,Q_trials.thisN,Q_trials.thisIndex,MWdefinitions.thisRepN,MWdefinitions.thisTrialN,MWdefinitions.thisN,MWdefinitions.thisIndex,ReadingLoop.thisRepN,ReadingLoop.thisTrialN,ReadingLoop.thisN,ReadingLoop.thisIndex,ChPage,Welcome_text.started,Welcome_text_resp.started,Welcome_text_resp.keys,Welcome_text_resp.rt,DemoQs.started,DemographicQs_resp.started,DemographicQs_resp.keys,DemographicQs_resp.rt,textInterval.started,textInterval.stopped,text_4.started,Age_resp.started,AgeQuestion_textbox.text,Age_resp.keys,Age_resp.rt,text_3.started,AQintro_key_resp.started,AQintro_key_resp.keys,AQintro_key_resp.rt,AQ_10.started,AQ_key_resp.started,AQ_key_resp.keys,AQ_key_resp.rt,text_2.started,text_2.stopped,adhdQ.started,key_QA.started,key_QA.keys,key_QA.rt,key_AlwaysResp.started,key_AlwaysResp.keys,key_AlwaysResp.rt,adhdDxQ.started,key_Dx.started,key_Dx.keys,key_Dx.rt,MWdefInstr.started,MWdefInstr_key_resp.started,text.started,IntroExp_key_resp.started,IntroExp_key_resp.keys,IntroExp_key_resp.rt,NoSkipping.started,key_Skip.keys,key_Skip.rt,etRecord_START.started,etRecord_START.stopped,Reading_key_resp.started,imagePages.started,PCProbe.started,SCProbe.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,24.530018499994185,24.530018499994185,space,3.1107508999994025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
Demographics/Demographics_1.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,27.713607299985597,27.713607299985597,2,2.4056719999935012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
Demographics/Demographics_2.png,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,30.14684999999008,30.14684999999008,2,0.9405648999963887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
Demographics/Demographics_3.png,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,31.10873300000094,31.10873300000094,2,19.498525399976643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
Demographics/Demographics_4.png,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,50.64396729998407,50.64396729998407,2,1.0997839999909047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.77304539998295,52.774095300002955,52.774095300002955,52.774095300002955,,['space'],[3.641778899997007],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.43938289998914,56.43938289998914,space,1.4887823000026401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
,AQ_10_Qs/AQ1.png,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.995919999986654,57.995919999986654,1,2.7552891000232194,60.77312579998397,61.27668779998203,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
,AQ_10_Qs/AQ2.png,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.27668779998203,61.27668779998203,1,0.5470975000062026,61.85644279999542,62.35879199998453,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
,AQ_10_Qs/AQ3.png,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35879199998453,62.35879199998453,1,0.8164627999940421,63.20656649998273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-01-19_13h20.19.282,Eyetracking_MW_reading6_08_noP_WORKING,2022.2.5,60.52257613318808,
